,gender_female,gender_male,region_Chungcheung,region_Honam,region_Others,region_Sudo,region_Youngnam,edu,income,age,score_gov,score_progress,score_intention,vote,parties
182,0,1,1,0,0,0,0,0.5,0.0,0.3333333333333333,0.75,0.5,0.6,1,4
183,1,0,0,0,0,1,0,0.0,0.0,0.0,0.75,0.25,0.6,1,4
184,0,1,0,0,0,0,1,0.0,0.0,0.3333333333333333,0.0,0.75,0.44999999999999996,1,4
185,1,0,0,0,0,1,0,0.0,0.0,0.0,0.5,0.75,0.44999999999999996,1,2
186,1,0,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.25,0.75,0.5,0,4
187,0,1,0,0,1,0,0,0.5,0.3333333333333333,0.6666666666666667,0.75,0.5,0.6,0,1
188,0,1,0,0,0,1,0,0.5,0.0,0.0,0.5,0.5,0.44999999999999996,1,4
189,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.5,0.5,0.5,1,4
190,0,1,0,0,1,0,0,0.0,0.0,0.0,0.25,0.25,0.4,0,2
191,1,0,0,0,0,1,0,0.5,0.0,0.6666666666666667,0.75,0.75,0.8500000000000001,1,4
192,1,0,1,0,0,0,0,0.0,0.0,0.0,0.5,0.75,0.44999999999999996,0,4
193,0,1,0,0,1,0,0,0.0,0.0,0.3333333333333333,0.5,0.75,0.6,1,4
194,0,1,1,0,0,0,0,0.5,0.0,0.3333333333333333,0.25,0.0,0.30000000000000004,1,2
195,0,1,0,0,1,0,0,0.0,0.0,0.0,0.5,0.5,0.5,0,4
196,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.6666666666666667,0.25,0.75,0.5,1,4
197,1,0,0,0,0,1,0,0.0,0.0,0.6666666666666667,0.25,0.5,0.5,1,4
198,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.75,0.75,1.0,1,1
199,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.5,0.25,0.30000000000000004,1,4
200,1,0,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.75,0.5,0.5,1,1
201,1,0,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.75,0.75,0.65,0,1
202,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,0.5,0.6,1,1
203,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.65,1,4
204,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.75,0.55,0,1
205,1,0,0,0,0,1,0,0.0,0.6666666666666667,1.0,0.5,0.25,0.0,1,2
206,0,1,0,0,0,0,1,0.0,1.0,1.0,0.5,0.5,0.2,1,2
207,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,0.75,0.4,1,4
208,0,1,1,0,0,0,0,0.5,0.0,0.3333333333333333,0.5,0.5,0.4,1,2
209,0,1,0,0,0,1,0,0.5,0.6666666666666667,1.0,0.5,0.25,0.75,1,4
210,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.7,1,2
